date,open,high,low,close,volume
2016-12-29,109.086,109.723,109.073,109.467,1143308
2016-12-30,109.362,109.533,108.744,109.066,2029433
2017-01-03,109.73,110.302,109.079,109.855,2016717
2017-01-04,110.236,111.616,109.966,111.215,2324004
2017-01-05,111.208,111.3,109.901,110.847,1843520
2017-01-06,110.84,111.649,110.072,111.392,2024416
2017-01-09,111.353,111.57,110.137,110.157,2192388
2017-01-10,110.374,110.446,108.639,108.757,2830744
2017-01-11,109.106,110.229,108.81,110.223,2473903
2017-01-12,110.236,110.394,108.784,110.354,2012044
2017-01-13,110.367,110.702,109.651,109.953,1976236
2017-01-17,109.526,110.505,109.152,110.315,2278851
2017-01-18,110.026,110.775,109.526,109.599,2754522
2017-01-19,109.704,110.026,108.941,109.605,4785879
2017-01-20,110.262,112.122,109.073,112.062,8721715
2017-01-23,111.754,112.522,111.708,112.378,3765114
2017-01-24,112.595,115.644,112.463,115.578,4778317
2017-01-25,115.814,117.779,115.729,117.148,4070478
2017-01-26,116.997,117.536,116.636,117.391,2105791
2017-01-27,117.267,117.746,116.498,116.498,2393354
2017-01-30,116.287,116.347,114.711,115.512,2814317
2017-01-31,115.019,115.368,114.073,114.671,2844696
2017-02-01,114.986,115.446,113.6,114.52,1921457
2017-02-02,114.48,114.967,114.034,114.711,1801045
2017-02-03,114.987,115.867,114.914,115.525,2274451
2017-02-06,115.19,115.63,114.579,115.552,1821871
2017-02-07,115.644,117.365,115.578,117.26,2662222
2017-02-08,117.551,117.551,116.479,116.671,2017979
2017-02-09,116.671,117.75,116.498,117.359,2141006
2017-02-10,117.465,118.459,117.061,118.333,2030169
2017-02-13,118.704,119.141,118.439,118.783,2142876
2017-02-14,118.26,119.293,118.114,119.293,1923351
2017-02-15,119.34,120.479,119.081,120.32,2018810
2017-02-16,120.167,121.055,119.783,120.154,2252395
2017-02-17,120.035,120.247,119.207,119.651,2460906
2017-02-21,119.604,119.73,118.624,119.379,3103617
2017-02-22,119.267,120.094,119.267,119.969,2092376
2017-02-23,120.532,120.863,119.816,120.3,1581145
2017-02-24,119.346,120.194,119.134,120.101,2286063
2017-02-27,119.995,120.035,118.73,118.81,2557055
2017-02-28,118.796,119.624,118.776,119.088,2267564
2017-03-01,119.525,120.896,119.227,120.498,2082055
2017-03-02,120.452,120.452,119.492,119.558,2021510
2017-03-03,119.558,120.081,119.048,119.24,1262145
2017-03-06,119.022,119.863,118.922,119.518,2219769
2017-03-07,119.677,120.061,119.339,119.459,2064666
2017-03-08,119.704,119.836,118.743,118.843,2464299
2017-03-09,118.644,118.71,116.479,117.339,3771264
2017-03-10,118.021,118.869,117.498,117.77,2147656
2017-03-13,117.783,117.922,116.836,116.863,2412207
2017-03-14,116.677,117.101,116.035,116.372,2180351
2017-03-15,116.366,116.743,115.73,116.432,2643092
2017-03-16,118.187,118.545,117.101,117.379,2986891
